vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,Wales,Plaid Cymru,I voted to Leave,Level-4
Very unlikely,52,16,CSE grades 2-5,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Separated (after being married),D,East Midlands,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Divorced,B,South East,Liberal Democrat,I voted to Remain,Level-4
Very likely,69,NA,No formal qualifications,Male,"£5,000 to £9,999 per year",NA,Married,E,South West,Conservative,I voted to Leave,Level-0
Very likely,47,NA,No formal qualifications,Female,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Married,C2,East of England,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,33,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£5,000 to £9,999 per year",Never married,C2,Yorkshire and the Humber,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,17-18,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Married,C1,South West,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","under £5,000 per year",Married,D,West Midlands,Conservative,I voted to Leave,Level-1
Very likely,62,19,"Other technical, professional or higher qualification",Male,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Married,A,London,Liberal Democrat,I voted to Remain,Other
Very likely,50,16,City & Guilds certificate - advanced,Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Married,C2,East Midlands,NA,I voted to Leave,Professional
Very likely,44,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Married,E,London,Green,I voted to Remain,Level-3
Very likely,74,17-18,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Prefer not to answer,Prefer not to answer,Married,B,South West,Conservative,I voted to Leave,Level-4
Very likely,74,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C1,Wales,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,19,"Other technical, professional or higher qualification",Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Living as married,C1,Scotland,Other,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,D,Wales,Labour,I voted to Remain,Level-1
Very likely,74,16,"Other technical, professional or higher qualification",Male,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Married,C1,North West,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,20,"Other technical, professional or higher qualification",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Divorced,A,East of England,Green,I voted to Remain,Other
Don’t know,33,16,Don't know,Male,Don't know,Don't know,Never married,D,South West,NA,Can’t remember,Other
Very likely,47,20,Prefer not to say,Male,Don't know,Prefer not to answer,Living as married,C1,London,Liberal Democrat,I voted to Leave,Other
Don’t know,48,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,Prefer not to answer,Never married,E,East Midlands,Conservative,I did not vote,Level-4
Very likely,51,17-18,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£30,000 to £34,999 per year",Living as married,C2,West Midlands,NA,I voted to Leave,Level-2
Very likely,57,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C2,East Midlands,Conservative,I voted to Leave,Level-1
Very likely,67,15 or under,City & Guilds certificate,Male,"£5,000 to £9,999 per year","£10,000 to £14,999 per year",Divorced,E,North West,Brexit Party,I voted to Leave,Professional
Very likely,54,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Divorced,B,Yorkshire and the Humber,Labour,I voted to Leave,Level-3
Very likely,44,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Never married,C1,North West,Labour,I voted to Remain,Level-3
Very likely,41,19,City & Guilds certificate,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Married,E,Scotland,Scottish National Party (SNP),Can’t remember,Professional
Very likely,72,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Divorced,A,South East,Don't know,Can’t remember,Level-3
Very likely,53,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£100,000 to £149,999 per year","£40,000 to £44,999 per year",Married,C2,North East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,17-18,"Other technical, professional or higher qualification",Female,"£60,000 to £69,999 per year","£10,000 to £14,999 per year",Married,A,North West,Liberal Democrat,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,20,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,B,Yorkshire and the Humber,Conservative,I voted to Remain,Other
Don’t know,21,16,Don't know,Male,Don't know,Don't know,Never married,C2,London,NA,Can’t remember,Other
Very likely,24,19,GCE A level or Higher Certificate,Female,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Never married,E,London,NA,I did not vote,Level-2
Very likely,64,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Divorced,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Very likely,58,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,B,South East,Conservative,I voted to Leave,Level-1
Very likely,61,16,City & Guilds certificate,Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,Wales,Conservative,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,20,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,Don't know,"£10,000 to £14,999 per year",Married,C1,East of England,Conservative,I voted to Leave,Level-3
Very likely,24,17-18,GCE A level or Higher Certificate,Male,"under £5,000 per year","under £5,000 per year",Never married,C2,London,Labour,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,16,No formal qualifications,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Married,D,Yorkshire and the Humber,NA,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,16,CSE grades 2-5,Male,"under £5,000 per year","under £5,000 per year",Never married,D,South East,Liberal Democrat,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,16,"Other technical, professional or higher qualification",Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Divorced,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,15 or under,No formal qualifications,Female,"£35,000 to £39,999 per year","£20,000 to £24,999 per year",Married,B,South East,Conservative,I voted to Leave,Level-0
Very likely,55,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Don't know,Never married,E,London,NA,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Married,B,North West,Conservative,I voted to Leave,Level-1
Fairly likely,49,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Married,D,North East,Conservative,I voted to Leave,Level-1
Fairly likely,36,17-18,GCE A level or Higher Certificate,Male,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Married,A,East of England,Liberal Democrat,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,79,16,City & Guilds certificate,Female,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Living as married,C2,South East,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C2,East of England,Conservative,I voted to Remain,Level-1
Very unlikely,66,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,Yorkshire and the Humber,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,43,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Never married,C1,London,Liberal Democrat,I voted to Remain,Level-4
Fairly likely,22,Still at school/Full time student,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year","under £5,000 per year",Living as married,D,Scotland,Liberal Democrat,I voted to Remain,Level-2
Very likely,48,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Never married,A,London,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,17-18,GCE A level or Higher Certificate,Male,Don't know,"£10,000 to £14,999 per year",Married,A,West Midlands,Liberal Democrat,I voted to Remain,Level-2
Very likely,45,16,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Married,B,North East,NA,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£100,000 to £149,999 per year","£100,000 and over",Divorced,A,London,Conservative,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,"£5,000 to £9,999 per year",Married,B,East Midlands,Conservative,I voted to Leave,Level-1
Very likely,73,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£70,000 to £99,999 per year","£30,000 to £34,999 per year",Married,B,North East,Brexit Party,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,15 or under,"Other technical, professional or higher qualification",Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Separated (after being married),B,South West,Liberal Democrat,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,16,Recognised trade apprenticeship completed,Female,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Married,C1,Scotland,NA,I voted to Leave,Professional
Very likely,49,17-18,Youth training certificate/skillseekers,Male,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Never married,A,North West,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£5,000 to £9,999 per year",Married,C2,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Very likely,59,17-18,University diploma,Female,"£40,000 to £44,999 per year","£35,000 to £39,999 per year",Divorced,B,Scotland,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,16,Recognised trade apprenticeship completed,Male,"£20,000 to £24,999 per year",Prefer not to answer,Never married,E,South East,Conservative,I voted to Leave,Professional
Very likely,60,16,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Married,B,South West,NA,I voted to Remain,Other
